evyear evjday evmonth evday evhour evmin evsec evmsec evla evlo evdp 
2009 7 1 7 1 28 17 529599 65.1429 -16.3641 3.95801 
2009 7 1 7 1 42 28 357600 65.1411 -16.3684 3.82129 
2009 7 1 7 1 52 45 831400 65.1414 -16.3717 3.83105 
2009 7 1 7 1 53 19 654699 65.1434 -16.3665 4.00684 
2009 7 1 7 2 44 37 389800 65.1429 -16.3653 3.83105 
2009 7 1 7 3 8 29 435700 65.0849 -16.2658 5.41309 
2009 7 1 7 4 3 34 17600 65.1479 -16.3532 4.49512 
2009 7 1 7 8 59 47 303199 65.1545 -16.6901 12.9131 
2009 7 1 7 9 40 43 609000 65.1432 -16.3662 3.88965 
2009 7 1 7 10 7 51 493099 65.1404 -16.371 3.68457 
2009 7 1 7 11 50 45 978499 65.1388 -16.3668 3.35742 
2009 7 1 7 11 52 26 714600 65.1392 -16.367 3.37207 
2009 7 1 7 12 10 50 292099 65.1414 -16.3688 3.7627 
2009 7 1 7 12 11 11 143700 65.1406 -16.3677 3.71387 
2009 7 1 7 12 12 15 942000 65.1382 -16.3704 3.27441 
2009 7 1 7 12 13 0 917396 65.1369 -16.3705 3.1377 
2009 7 1 7 12 13 44 54499 65.1424 -16.3679 3.57715 
2009 7 1 7 12 14 8 339259 65.1452 -16.3601 4.26074 
2009 7 1 7 12 16 6 809330 65.1412 -16.3718 3.85059 
2009 7 1 7 12 23 20 488600 65.1431 -16.3689 4.33398 
2009 7 1 7 12 23 49 491700 65.143 -16.3672 3.74805 
2009 7 1 7 12 25 15 128000 65.1428 -16.3728 3.95801 
2009 7 1 7 12 27 44 309199 65.1368 -16.3678 3.06445 
2009 7 1 7 12 31 51 887599 65.1437 -16.3678 4.3877 
2009 7 1 7 12 40 16 938900 65.1414 -16.3906 3.24023 
2009 7 1 7 12 55 2 450720 65.1388 -16.3707 3.69434 
2009 7 1 7 12 56 19 619599 65.1375 -16.3721 3.22559 
2009 7 1 7 12 58 41 225099 65.1401 -16.3694 4.37793 
2009 7 1 7 13 0 46 699800 65.138 -16.37 3.44043 
2009 7 1 7 13 1 32 145499 65.142 -16.3617 3.78223 
2009 7 1 7 13 9 32 819800 65.1385 -16.3674 3.32324 
2009 7 1 7 13 10 28 336400 65.1446 -16.4022 2.08301 
2009 7 1 7 13 13 49 672199 65.1401 -16.3731 3.93848 
2009 7 1 7 13 17 20 97000 65.1426 -16.3791 4.18262 
2009 7 1 7 13 19 52 258200 65.1406 -16.3685 3.43066 
2009 7 1 7 13 22 0 339548 65.1432 -16.3662 4.0459 
2009 7 1 7 13 23 33 792799 65.14 -16.3741 3.82617 
2009 7 1 7 13 28 18 5099 65.1399 -16.3102 7.53711 
2009 7 1 7 13 30 42 387000 65.1436 -16.3632 4.14355 
2009 7 1 7 13 31 55 548999 65.1376 -16.3659 4.08496 
2009 7 1 7 13 32 28 918600 65.1383 -16.3712 3.33301 
2009 7 1 7 13 32 56 677500 65.1441 -16.3627 4.00684 
2009 7 1 7 13 33 53 461399 65.1406 -16.3681 3.68457 
2009 7 1 7 13 35 18 748000 65.14 -16.3733 3.70898 
2009 7 1 7 13 38 31 490700 65.1375 -16.3721 3.12793 
2009 7 1 7 13 48 49 724899 65.1404 -16.376 3.6748 
2009 7 1 7 13 54 6 945700 65.1462 -16.3617 4.43652 
2009 7 1 7 13 54 48 651499 65.1398 -16.3719 3.88965 
2009 7 1 7 14 2 35 313699 65.1413 -16.3788 3.65527 
2009 7 1 7 14 8 3 248569 65.1385 -16.3712 2.93262 
2009 7 1 7 14 10 12 690099 65.1417 -16.3867 3.90918 
2009 7 1 7 14 29 12 774699 65.135 -16.3798 2.68848 
2009 7 1 7 14 31 23 562799 65.137 -16.373 3.16699 
2009 7 1 7 15 26 30 896799 65.1462 -16.3617 4.47559 
2009 7 1 7 15 37 53 26800 65.137 -16.3718 3.80176 
2009 7 1 7 15 40 40 726900 65.1391 -16.3769 3.81152 
2009 7 1 7 16 11 9 530950 65.1382 -16.3679 4.08496 
2009 7 1 7 16 11 46 672400 65.1366 -16.3716 3.73828 
2009 7 1 7 16 12 7 541690 65.1345 -16.3649 4.05566 
2009 7 1 7 16 14 17 236899 65.138 -16.3708 3.6748 
2009 7 1 7 16 21 31 364999 65.1395 -16.3734 4.08008 
2009 7 1 7 16 23 31 199200 65.1369 -16.3693 3.85059 
2009 7 1 7 16 47 44 318100 65.14 -16.3681 4.45605 
2009 7 1 7 16 51 7 932820 65.0883 -16.2739 8.45508 
2009 7 1 7 16 54 59 743400 65.1368 -16.3755 3.80176 
2009 7 1 7 17 10 56 271799 65.139 -16.3711 4.39746 
2009 7 1 7 17 29 3 410530 65.1371 -16.3724 3.95312 
2009 7 1 7 17 31 46 672499 65.1385 -16.3768 4.19727 
2009 7 1 7 17 33 25 412199 65.1369 -16.3701 3.78223 
2009 7 1 7 17 46 14 547399 65.138 -16.3725 3.82129 
2009 7 1 7 17 49 44 806600 65.1393 -16.3719 4.12402 
2009 7 1 7 17 53 23 210499 65.1394 -16.3709 3.8457 
2009 7 1 7 18 3 6 352750 65.1361 -16.3706 3.75293 
2009 7 1 7 18 23 52 948000 65.1386 -16.3766 4.21191 
2009 7 1 7 18 39 23 602799 65.1387 -16.3658 3.80176 
2009 7 1 7 18 41 59 215299 65.137 -16.3722 3.88965 
2009 7 1 7 19 20 7 107940 65.1371 -16.3792 3.46973 
2009 7 1 7 19 30 54 532299 65.1362 -16.3718 4.06543 
